"Internet of Things" AND "Healthcare"
"type","id","author","editor","advisor","note","title","pages","article_no","num_pages","keywords","doi","journal","issue_date","volume","issue_no","description","month","year","issn","booktitle","acronym","edition","isbn","conf_loc","publisher","publisher_loc"
"article","2791540","Sohini  Roy and Uma  Bhattacharya","","","","Smart Mom: An Architecture to Monitor Children at Home","614--623","","10","Pervasive computing, fall detection, healthcare, risk assessment, sensors, smart home, working mother","10.1145/2791405.2791540","","","","","","","2015","","Proceedings of the Third International Symposium on Women in Computing and Informatics","WCI '15","","978-1-4503-3361-0","Kochi, India","ACM","New York, NY, USA"
"article","3154913","Matteo  Danieletto and Li  Li and Joel T. Dudley","","","","Application of I-COMO Device Towards Geographic Disease Enrichment Pattern Revealed from Electronic Medical Record at a Large Urban Academic Medical Center","282--287","","6","IoT, LoRaWAN network, air pollution, electronic medical records, environmental diseases","10.1145/3154862.3154913","","","","","","","2017","","Proceedings of the 11th EAI International Conference on Pervasive Computing Technologies for Healthcare","PervasiveHealth '17","","978-1-4503-6363-1","Barcelona, Spain","ACM","New York, NY, USA"
"article","2760014","Yang  Li and Li  Guo and Yike  Guo","","","","Enabling Health Monitoring As a Service in the Cloud","127--136","","10","wiki-health, analysis framework, health monitor, ECG analysis, big data, sensor data management","10.1109/UCC.2014.21","","","","","","","2014","","Proceedings of the 2014 IEEE/ACM 7th International Conference on Utility and Cloud Computing","UCC '14","","978-1-4799-7881-6","","IEEE Computer Society","Washington, DC, USA"
"article","3125674","Tae (Tom)  Oh and Sam  Chung and Barry  Lunt and Russell  McMahon and Rebecca  Rutherfoord","","","","The Roles of IT Education in IoT and Data Analytics","39--40","","2","data analytics, iot, it education","10.1145/3125659.3125674","","","","","","","2017","","Proceedings of the 18th Annual Conference on Information Technology Education","SIGITE '17","","978-1-4503-5100-3","Rochester, New York, USA","ACM","New York, NY, USA"
"article","3105828","Camilo  Rodriguez and Diego M. Castro and William  Coral and Jose L. Cabra and Nicolas  Velasquez and Julian  Colorado and Diego  Mendez and Luis C. Trujillo","","","","IoT System for Human Activity Recognition Using BioHarness 3 and Smartphone","49:1--49:7","49","7","Bayesian classifier, CS5, Human Activity Recognition (HAR), IoT, structural function, w-Health","10.1145/3102304.3105828","","","","","","","2017","","Proceedings of the International Conference on Future Networks and Distributed Systems","ICFNDS '17","","978-1-4503-4844-7","Cambridge, United Kingdom","ACM","New York, NY, USA"
"article","2442753","Reijo M. Savola and Habtamu  Abie and Markus  Sihvonen","","","","Towards Metrics-driven Adaptive Security Management in e-Health IoT Applications","276--281","","6","IoT, adaptive security, security metrics","","","","","","","","2012","","Proceedings of the 7th International Conference on Body Area Networks","BodyNets '12","","978-1-936968-60-2","Oslo, Norway","ICST (Institute for Computer Sciences, Social-Informatics and Telecommunications Engineering)","ICST, Brussels, Belgium, Belgium"
"proceeding","3139315","","Sander  Stuijk and Akash  Kumar","","","","","","","","","","","","","","","2017","","Proceedings of the 15th IEEE/ACM Symposium on Embedded Systems for Real-Time Multimedia","","","978-1-4503-5117-1","Seoul, Republic of Korea","ACM","New York, NY, USA"
"article","3066861","Niraj K. Jha","","","","Internet-of-Medical-Things","7--7","","1","body-area network, energy efficiency, inference, iot, medical devices, security, sparsity","10.1145/3060403.3066861","","","","","","","2017","","Proceedings of the on Great Lakes Symposium on VLSI 2017","GLSVLSI '17","","978-1-4503-4972-7","Banff, Alberta, Canada","ACM","New York, NY, USA"
"article","3106518","Davide  Calvaresi and Mauro  Marinoni and Arnon  Sturm and Michael  Schumacher and Giorgio  Buttazzo","","","","The Challenge of Real-time Multi-agent Systems for Enabling IoT and CPS","356--364","","9","CPS, IoT, MAS negotiation timing compliant, multi-agent systems, real-time multi-agent systems, real-time systems","10.1145/3106426.3106518","","","","","","","2017","","Proceedings of the International Conference on Web Intelligence","WI '17","","978-1-4503-4951-2","Leipzig, Germany","ACM","New York, NY, USA"
"article","2995298","Marcel  Medwed","","","","IoT Security Challenges and Ways Forward","55--55","","1","IoT security, physical security","10.1145/2995289.2995298","","","","","","","2016","","Proceedings of the 6th International Workshop on Trustworthy Embedded Devices","TrustED '16","","978-1-4503-4567-5","Vienna, Austria","ACM","New York, NY, USA"
"article","2824132","Arun  Kejariwal and Sanjeev  Kulkarni and Karthik  Ramasamy","","","","Real Time Analytics: Algorithms and Systems","2040--2041","","2","","10.14778/2824032.2824132","Proc. VLDB Endow.","August 2015","8","12","","August","2015","2150-8097","","","","","","VLDB Endowment",""
"article","3017820","Bill  Siever and Michael P. Rogers","","","","An IoTa of IoT (Abstract Only)","742--742","","1","CS1, IoT, intro. C.S.","10.1145/3017680.3017820","","","","","","","2017","","Proceedings of the 2017 ACM SIGCSE Technical Symposium on Computer Science Education","SIGCSE '17","","978-1-4503-4698-6","Seattle, Washington, USA","ACM","New York, NY, USA"
"article","3139535","Elisa  Bertino","","","","Keynote: Research Challenges and Opportunities in IoT Security","5--5","","1","embedded systems, sensors","10.1145/3139531.3139535","","","","","","","2017","","Proceedings of the 2017 Workshop on Women in Cyber Security","CyberW '17","","978-1-4503-5393-9","Dallas, Texas, USA","ACM","New York, NY, USA"
"proceeding","3063386","","","","Conference Chair-Abhishek  Dubey and Conference Chair-Aniruddha  Gokhale and Conference Chair-Monika  Sturm and Conference Chair-Sokwoo  Rhee","","","","","","","","","","","","","2017","","Proceedings of the 2Nd International Workshop on Science of Smart City Operations and Platforms Engineering","","","978-1-4503-4989-5","Pittsburgh, Pennsylvania","ACM","New York, NY, USA"
"article","3078869","Shagufta  Mehnaz and Gowtham  Bellala and Elisa  Bertino","","","","A Secure Sum Protocol and Its Application to Privacy-preserving Multi-party Analytics","219--230","","12","big data analytics, machine learning, privacy-preserving protocols","10.1145/3078861.3078869","","","","","","","2017","","Proceedings of the 22Nd ACM on Symposium on Access Control Models and Technologies","SACMAT '17 Abstracts","","978-1-4503-4702-0","Indianapolis, Indiana, USA","ACM","New York, NY, USA"
"article","2727096","Fco Javier Ord&#243;&#241;ez and Paula  Toledo and Araceli  Sanchis","","","","Sensor-based Bayesian Detection of Anomalous Living Patterns in a Home Setting","259--270","","12","Anomaly detection, Bayesian statistics, Behavior patterns, Wireless sensor networks","10.1007/s00779-014-0820-1","Personal Ubiquitous Comput.","February  2015","19","2","","February","2015","1617-4909","","","","","","Springer-Verlag","London, UK, UK"
"proceeding","3029806","","","","General Chair-Gail-Joon  Ahn and Program Chair-Alexander  Pretschner and Program Chair-Gabriel  Ghinita","","","","","","","","","","","","","2017","","Proceedings of the Seventh ACM on Conference on Data and Application Security and Privacy","","","978-1-4503-4523-1","Scottsdale, Arizona, USA","ACM","New York, NY, USA"
