"Internet of Things" AND "Health"
"type","id","author","editor","advisor","note","title","pages","article_no","num_pages","keywords","doi","journal","issue_date","volume","issue_no","description","month","year","issn","booktitle","acronym","edition","isbn","conf_loc","publisher","publisher_loc"
"article","3055002","William M. Mongan and Ilhaan  Rasheed and Khyati  Ved and Shrenik  Vora and Kapil  Dandekar and Genevieve  Dion and Timothy  Kurzweg and Adam  Fontecchio","","","","On the Use of Radio Frequency Identification for Continuous Biomedical Monitoring","197--202","","6","IoT sensor processing framework, Signal processing, Software architecture","10.1145/3054977.3055002","","","","","","","2017","","Proceedings of the Second International Conference on Internet-of-Things Design and Implementation","IoTDI '17","","978-1-4503-4966-6","Pittsburgh, PA, USA","ACM","New York, NY, USA"
"article","3054981","Amr  Alanwar and Moustafa  Alzantot and Bo-Jhang  Ho and Paul  Martin and Mani  Srivastava","","","","SeleCon: Scalable IoT Device Selection and Control Using Hand Gestures","47--58","","12","IoT, Pointing, hand gestures","10.1145/3054977.3054981","","","","","","","2017","","Proceedings of the Second International Conference on Internet-of-Things Design and Implementation","IoTDI '17","","978-1-4503-4966-6","Pittsburgh, PA, USA","ACM","New York, NY, USA"
"article","3139954","Samuel  Mergendahl and Devkishen  Sisodia and Jun  Li and Hasan  Cam","","","","Source-End DDoS Defense in IoT Environments","63--64","","2","ddos, fast retransmit, iot, network security, source-end ddos defense, tcp","10.1145/3139937.3139954","","","","","","","2017","","Proceedings of the 2017 Workshop on Internet of Things Security and Privacy","IoTS&#38;P '17","","978-1-4503-5396-0","Dallas, Texas, USA","ACM","New York, NY, USA"
"article","2774835","Will  McGrath and Mozziyar  Etemadi and Shuvo  Roy and Bjoern  Hartmann","","","","Fabryq: Using Phones As Gateways to Prototype Internet of Things Applications Using Web Scripting","164--173","","10","prototyping, swarm devices, toolkits, ubiquitous computing","10.1145/2774225.2774835","","","","","","","2015","","Proceedings of the 7th ACM SIGCHI Symposium on Engineering Interactive Computing Systems","EICS '15","","978-1-4503-3646-8","Duisburg, Germany","ACM","New York, NY, USA"
"article","2820978","Suman Sankar  Bhunia and Sarbani  Roy and Nandini  Mukherjee","","","","Multi Criteria Assisted Context Aware Vertical Hand-over for Seamless Health-care Services in Smart City","13--17","","5","MIH, remote health, sensor-cloud, smart city","10.1145/2820975.2820978","","","","","","","2015","","Proceedings of the 2015 International Workshop on Internet of Things Towards Applications","IoT-App '15","","978-1-4503-3838-7","Seoul, South Korea","ACM","New York, NY, USA"
"article","2490457","G. K. Ragesh and K.  Baskaran","","","","CRYPE: Towards Cryptographically Enforced and Privacy Enhanced WBANs","204--209","","6","CRYPE scheme, attribute based encryption technique, context aware mechanism, data security and privacy, wireless body area network","10.1145/2490428.2490457","","","","","","","2012","","Proceedings of the First International Conference on Security of Internet of Things","SecurIT '12","","978-1-4503-1822-8","Kollam, India","ACM","New York, NY, USA"
"article","3057319","Daniel  de Godoy and Ji  Jia and Xiaofan  Jiang","","","","RIO-40C: A Low-Cost Wearable Sunlight Exposure Monitor for Skincare: Demo Abstract","295--296","","2","Embedded System, Skincare, UV Exposure, Wearable","10.1145/3054977.3057319","","","","","","","2017","","Proceedings of the Second International Conference on Internet-of-Things Design and Implementation","IoTDI '17","","978-1-4503-4966-6","Pittsburgh, PA, USA","ACM","New York, NY, USA"
"article","3057287","Hua  Huang and Shan  Lin","","","","Tooth Brushing Recognition Using Neural Networks: Poster Abstract","309--310","","2","Activity Recognition, Neural Network, Toothbrushing Monitoring","10.1145/3054977.3057287","","","","","","","2017","","Proceedings of the Second International Conference on Internet-of-Things Design and Implementation","IoTDI '17","","978-1-4503-4966-6","Pittsburgh, PA, USA","ACM","New York, NY, USA"
"article","3129801","Mattias T. Gebrie and Habtamu  Abie","","","","Risk-based Adaptive Authentication for Internet of Things in Smart Home eHealth","102--108","","7","IoT, WBAN, adaptive authentication, eHealth, machine learning, risk-based, smart home","10.1145/3129790.3129801","","","","","","","2017","","Proceedings of the 11th European Conference on Software Architecture: Companion Proceedings","ECSA '17","","978-1-4503-5217-8","Canterbury, United Kingdom","ACM","New York, NY, USA"
"article","3140270","Anzengruber  Bernhard and Nina  Hochedlinger and Michael  Matscheko and Alois  Ferscha and Andreas  Shamiyeh and Bettina  Klugsberger and Gamze  Demireli","","","","MinIAttention: Attention Management in Minimal Invasive Surgery Using an IoT Synchronization Approach","34:1--34:2","34","2","IoT sensing ensembles, attention management, cognitive computing","10.1145/3131542.3140270","","","","","","","2017","","Proceedings of the Seventh International Conference on the Internet of Things","IoT '17","","978-1-4503-5318-2","Linz, Austria","ACM","New York, NY, USA"
"article","2909079","Anjali S. Yeole and D. R. Kalbande","","","","Use of Internet of Things (IoT) in Healthcare: A Survey","71--76","","6","Healthcare, IoT, Sensor","10.1145/2909067.2909079","","","","","","","2016","","Proceedings of the ACM Symposium on Women in Research 2016","WIR '16","","978-1-4503-4278-0","Indore, India","ACM","New York, NY, USA"
"article","2896414","Wan Aida Nadia Wan Abdullah and Naimah  Yaakob and Mohamed Elshaikh Elobaid and Mohd Nazri Mohd Warip and Siti Asilah Yah","","","","Energy-Efficient Remote Healthcare Monitoring Using IoT: A Review of Trends and Challenges","29:1--29:8","29","8","IoT, Remote healthcare monitoring, WBAN, energy efficient","10.1145/2896387.2896414","","","","","","","2016","","Proceedings of the International Conference on Internet of Things and Cloud Computing","ICC '16","","978-1-4503-4063-2","Cambridge, United Kingdom","ACM","New York, NY, USA"
"article","3139938","Franco  Loi and Arunan  Sivanathan and Hassan Habibi Gharakheili and Adam  Radford and Vijay  Sivaraman","","","","Systematically Evaluating Security and Privacy for Consumer IoT Devices","1--6","","6","iot, privacy, security","10.1145/3139937.3139938","","","","","","","2017","","Proceedings of the 2017 Workshop on Internet of Things Security and Privacy","IoTS&#38;P '17","","978-1-4503-5396-0","Dallas, Texas, USA","ACM","New York, NY, USA"
"article","2998466","Junyoung  Jang and Hyeonwoo  Kim and Gwangrae  Yeom and Inseok  Hong and Jundong  Cho","","","","Subway Passenger Distribution System by Using CO2 Concentrations Data","183--184","","2","CO2, Distribution System, Passenger, Subway","10.1145/2991561.2998466","","","","","","","2016","","Proceedings of the 6th International Conference on the Internet of Things","IoT'16","","978-1-4503-4814-0","Stuttgart, Germany","ACM","New York, NY, USA"
"article","2896434","Saad Bin Ahmed and Muhammad Imran Razzak and Bandar  Alhaqbani","","","","The Minutiae Based Latent Fingerprint Recognition System","49:1--49:9","49","9","Fingerprints recognition system, Latent fingerprints, Minutiae, NIST SD27","10.1145/2896387.2896434","","","","","","","2016","","Proceedings of the International Conference on Internet of Things and Cloud Computing","ICC '16","","978-1-4503-4063-2","Cambridge, United Kingdom","ACM","New York, NY, USA"
"article","2900332","El Fatimi Youssef and Fihri  Mohammed and Ezzati  Abedellah","","","","Improvement of Leach Routing Algorithm Based on the Use of Game Theory","80:1--80:5","80","5","Energy, Game Theory, LEACH, Mixed strategy Nash Equilibrium, Non-cooperative game","10.1145/2896387.2900332","","","","","","","2016","","Proceedings of the International Conference on Internet of Things and Cloud Computing","ICC '16","","978-1-4503-4063-2","Cambridge, United Kingdom","ACM","New York, NY, USA"
"article","3131546","Masahiro  Otani and Tomoaki  Matsuda and Nitish  Rajoria and Jin  Mitsugi and Haruhisa  Ichikawa and Yuusuke  Kawakita","","","","Inter-zone Interference Avoidance Using Channel Reservation in Multiple Subcarrier Multiple Access Scheme","4:1--4:7","4","7","RFID, channel allocation, interference prevention, multiple access","10.1145/3131542.3131546","","","","","","","2017","","Proceedings of the Seventh International Conference on the Internet of Things","IoT '17","","978-1-4503-5318-2","Linz, Austria","ACM","New York, NY, USA"
"article","3140273","Tatsuki  Fujiwara and Yohei  Nakano and Jin  Mitsugi and Yuusuke  kawakita and Haruhisa  Ichikawa","","","","SDR Processing Delay Estimation Applying Correlation Detection for Structure Health Monitoring Using Multi-subcarrier Multiple Access","37:1--37:2","37","2","RFID, SDR, multi-subcarreier multiple access, multiple access, structural health monitoring","10.1145/3131542.3140273","","","","","","","2017","","Proceedings of the Seventh International Conference on the Internet of Things","IoT '17","","978-1-4503-5318-2","Linz, Austria","ACM","New York, NY, USA"
"article","3016739","Haytham  Assem and Lei  Xu and Teodora Sandra Buda and Declan  O'sullivan","","","","Machine Learning As a Service for Enabling Internet of Things and People","899--914","","16","Classification models, Machine learning, Predictive modelling, Regression models, Supervised learning","10.1007/s00779-016-0963-3","Personal Ubiquitous Comput.","November  2016","20","6","","November","2016","1617-4909","","","","","","Springer-Verlag","London, UK, UK"
"article","2926023","Muthuraman  Thangaraj and Pichaiah Punitha Ponmalar and G  Sujatha and Subramanian  Anuradha","","","","Agent Based Semantic Internet of Things (IoT) in Smart Health Care","41:1--41:9","41","9","Agent, Data Model, Healthcare, Hospital Management, IoT, Ontology, Semantic, Swarm Intelligence","10.1145/2925995.2926023","","","","","","","2016","","Proceedings of the The 11th International Knowledge Management in Organizations Conference on The Changing Face of Knowledge Management Impacting Society","KMO '16","","978-1-4503-4064-9","Hagen, Germany","ACM","New York, NY, USA"
"article","2845163","Florian  Michahelles and Simon  Mayer","","","","Toward a Web of Systems","62--67","","6","","10.1145/2845163","XRDS","Winter 2015","22","2","","December","2015","1528-4972","","","","","","ACM","New York, NY, USA"
"article","1982626","Soundar  Kumara and LiYing  Cui and Jie  Zhang","","","","Sensors, Networks and Internet of Things: Research Challenges in Health Care","2:1--2:4","2","4","large scale networks, sensor networks, sensors","10.1145/1982624.1982626","","","","","","","2011","","Proceedings of the 8th International Workshop on Information Integration on the Web: In Conjunction with WWW 2011","IIWeb '11","","978-1-4503-0620-1","Hyderabad, India","ACM","New York, NY, USA"
"article","2900336","Ahc&#232;ne  Bounceur","","","","CupCarbon: A New Platform for Designing and Simulating Smart-City and IoT Wireless Sensor Networks (SCI-WSN)","1:1--1:1","1","1","CupCarbon simulator, alpha-stable distribution, interference, radio propagation channel, visibility tree","10.1145/2896387.2900336","","","","","","","2016","","Proceedings of the International Conference on Internet of Things and Cloud Computing","ICC '16","","978-1-4503-4063-2","Cambridge, United Kingdom","ACM","New York, NY, USA"
"article","3124411","Muhammad  Babar and Fahim  Arif","","","","Smart Urban Planning Using Big Data Analytics Based Internet of Things","397--402","","6","IoT, big data analytics, smart city","10.1145/3123024.3124411","","","","","","","2017","","Proceedings of the 2017 ACM International Joint Conference on Pervasive and Ubiquitous Computing and Proceedings of the 2017 ACM International Symposium on Wearable Computers","UbiComp '17","","978-1-4503-5190-4","Maui, Hawaii","ACM","New York, NY, USA"
"article","3023081","Walter  Fuertes and Diego  Carrera and C&#233;sar  Villac&#237;s and Theofilos  Toulkeridis and Fernando  Gal&#225;rraga and Edgar  Torres and Hern&#225;n  Aules","","","","Distributed System As Internet of Things for a New Low-cost, Air Pollution Wireless Monitoring on Real Time","58--67","","10","Arduino, IoT, agile methodologies, air pollution, distributed systems, electronic sensors, real time","10.1109/DS-RT.2015.28","","","","","","","2015","","Proceedings of the 19th International Symposium on Distributed Simulation and Real Time Applications","DS-RT 2015","","978-1-4673-7822-2","Chengdu, Sichuan, China","IEEE Press","Piscataway, NJ, USA"
"article","3132639","Jochen  Meyer and Parisa  Eslambolchilar","","","","Research Challenges of Emerging Technologies Supporting Life-Long Health and Wellbeing","27--34","","8","data, digital health literacy, emerging technologies, health, interdisciplinary research, personalized medicine, regulations and standards, social media, wellbeing","10.1145/3132635.3132639","","","","","","","2017","","Proceedings of the 2Nd International Workshop on Multimedia for Personal Health and Health Care","MMHealth '17","","978-1-4503-5504-9","Mountain View, California, USA","ACM","New York, NY, USA"
"article","2760014","Yang  Li and Li  Guo and Yike  Guo","","","","Enabling Health Monitoring As a Service in the Cloud","127--136","","10","wiki-health, analysis framework, health monitor, ECG analysis, big data, sensor data management","10.1109/UCC.2014.21","","","","","","","2014","","Proceedings of the 2014 IEEE/ACM 7th International Conference on Utility and Cloud Computing","UCC '14","","978-1-4799-7881-6","","IEEE Computer Society","Washington, DC, USA"
"article","2742920","Sami  Ahmari and Alireza  Ameri and Sivasankar  Padmanabhan and Keerthi  Parameshwaran and Kareem  Ragheb and Mohammad  Mozumdar","","","","BioMeSensi: A Wearable Multi-sensing Platform for Bio-medical Applications","372--373","","2","bio-medical sensing, cloud computing, smart health","10.1145/2737095.2742920","","","","","","","2015","","Proceedings of the 14th International Conference on Information Processing in Sensor Networks","IPSN '15","","978-1-4503-3475-4","Seattle, Washington","ACM","New York, NY, USA"
"article","2497331","Avik  Ghose and Priyanka  Sinha and Chirabrata  Bhaumik and Aniruddha  Sinha and Amit  Agrawal and Anirban  Dutta Choudhury","","","","UbiHeld: Ubiquitous Healthcare Monitoring System for Elderly and Chronic Patients","1255--1264","","10","elderly people care, health-monitoring, iot, mhealth, ubiquitous computing","10.1145/2494091.2497331","","","","","","","2013","","Proceedings of the 2013 ACM Conference on Pervasive and Ubiquitous Computing Adjunct Publication","UbiComp '13 Adjunct","","978-1-4503-2215-7","Zurich, Switzerland","ACM","New York, NY, USA"
"article","2523507","Reijo M. Savola and Habtamu  Abie","","","","Metrics-driven Security Objective Decomposition for an e-Health Application with Adaptive Security Management","6:1--6:8","6","8","IoT, adaptive security, e-health, game theory, security metrics","10.1145/2523501.2523507","","","","","","","2013","","Proceedings of the International Workshop on Adaptive Security","ASPI '13","","978-1-4503-2543-1","Zurich, Switzerland","ACM","New York, NY, USA"
"article","2944924","C.  G&#252;ndogan and C.  Adjih and O.  Hahm and E.  Baccelli","","","","Let Healthy Links Bloom: Scalable Link Checks in Low-power Wireless Networks for Smart Health","11--16","","6","RPL, bloom filter, bloom-RPL, scalable unreachability detection","10.1145/2944921.2944924","","","","","","","2016","","Proceedings of the 6th ACM International Workshop on Pervasive Wireless Healthcare","MobiHealth '16","","978-1-4503-4342-8","Paderborn, Germany","ACM","New York, NY, USA"
"proceeding","2933566","","","","Program Chair-Kuldeep  Yadav and Program Chair-Hwee-Pink  Tan and Program Chair-Sharanya  Eswaran","","","","","","","","","","","","","2016","","Proceedings of the First Workshop on IoT-enabled Healthcare and Wellness Technologies and Systems","","","978-1-4503-4334-3","Singapore, Singapore","ACM","New York, NY, USA"
"article","3105828","Camilo  Rodriguez and Diego M. Castro and William  Coral and Jose L. Cabra and Nicolas  Velasquez and Julian  Colorado and Diego  Mendez and Luis C. Trujillo","","","","IoT System for Human Activity Recognition Using BioHarness 3 and Smartphone","49:1--49:7","49","7","Bayesian classifier, CS5, Human Activity Recognition (HAR), IoT, structural function, w-Health","10.1145/3102304.3105828","","","","","","","2017","","Proceedings of the International Conference on Future Networks and Distributed Systems","ICFNDS '17","","978-1-4503-4844-7","Cambridge, United Kingdom","ACM","New York, NY, USA"
"article","2442753","Reijo M. Savola and Habtamu  Abie and Markus  Sihvonen","","","","Towards Metrics-driven Adaptive Security Management in e-Health IoT Applications","276--281","","6","IoT, adaptive security, security metrics","","","","","","","","2012","","Proceedings of the 7th International Conference on Body Area Networks","BodyNets '12","","978-1-936968-60-2","Oslo, Norway","ICST (Institute for Computer Sciences, Social-Informatics and Telecommunications Engineering)","ICST, Brussels, Belgium, Belgium"
"article","3014841","Roopak  Sinha and Ayush  Narula and John  Grundy","","","","Parametric Statecharts: Designing Flexible IoT Apps: Deploying Android M-health Apps in Dynamic Smart-homes","28:1--28:8","28","8","IoT, automatic code generation, design, m-health apps, mobile apps, smart-homes, statecharts","10.1145/3014812.3014841","","","","","","","2017","","Proceedings of the Australasian Computer Science Week Multiconference","ACSW '17","","978-1-4503-4768-6","Geelong, Australia","ACM","New York, NY, USA"
"article","2457291","Reijo M. Savola and Markus  Sihvonen","","","","Metrics Driven Security Management Framework for e-Health Digital Ecosystem Focusing on Chronic Diseases","75--79","","5","adaptive security, digital ecosystems, security, security metrics","10.1145/2457276.2457291","","","","","","","2012","","Proceedings of the International Conference on Management of Emergent Digital EcoSystems","MEDES '12","","978-1-4503-1755-9","Addis Ababa, Ethiopia","ACM","New York, NY, USA"
"article","3149217","Adeniyi  Onasanya and Maher  Elshakankiri","","","","IoT Implementation for Cancer Care and Business Analytics/Cloud Services in Healthcare Systems","205--206","","2","(wireless) sensor network, business analytics, cancer care services, cloud services, iot, smart health care system","10.1145/3147213.3149217","","","","","","","2017","","Proceedings of the10th International Conference on Utility and Cloud Computing","UCC '17","","978-1-4503-5149-2","Austin, Texas, USA","ACM","New York, NY, USA"
"article","2933568","Elder Akpa Akpro Hippocrate and Hirohiko  Suwa and Yutaka  Arakawa and Keiichi  Yasumoto","","","","Food Weight Estimation Using Smartphone and Cutlery","9--14","","6","calorie assessment, eating cutlery, food volume estimation, food weight, image processing","10.1145/2933566.2933568","","","","","","","2016","","Proceedings of the First Workshop on IoT-enabled Healthcare and Wellness Technologies and Systems","IoT of Health '16","","978-1-4503-4334-3","Singapore, Singapore","ACM","New York, NY, USA"
"article","2826166","Oresti  Banos and Muhammad Bilal Amin and Wajahat Ali Khan and Taqdir  Ali and Muhammad  Afzal and Byeong Ho Kang and Sungyoung  Lee","","","","Mining Minds: An Innovative Framework for Personalized Health and Wellness Support","1--8","","8","big data, cloud computing, context-awareness, digital health, human behavior, knowledge bases, quantified-self, user experience","","","","","","","","2015","","Proceedings of the 9th International Conference on Pervasive Computing Technologies for Healthcare","PervasiveHealth '15","","978-1-63190-045-7","Istanbul, Turkey","ICST (Institute for Computer Sciences, Social-Informatics and Telecommunications Engineering)","ICST, Brussels, Belgium, Belgium"
"article","2933567","Chetanya  Puri and Arijit  Ukil and Soma  Bandyopadhyay and Rituraj  Singh and Arpan  Pal and Kayapanda  Mandana","","","","iCarMa: Inexpensive Cardiac Arrhythmia Management -- An IoT Healthcare Analytics Solution","3--8","","6","anomaly detection, cardio-vascular system, heart monitoring, iot, m-health, ppg, statistical learning","10.1145/2933566.2933567","","","","","","","2016","","Proceedings of the First Workshop on IoT-enabled Healthcare and Wellness Technologies and Systems","IoT of Health '16","","978-1-4503-4334-3","Singapore, Singapore","ACM","New York, NY, USA"
"article","2926006","Jari  Kaivo-oja and Petri  Virtanen and Harri  Jalonen and Jari  Stenvall and Johan  Wallin","","","","Future Prospects for Knowledge Management in the Field of Health","40:1--40:8","40","8","Knowledge management, Nonaka-Takeuchi KM spiral model, digitalization, health service integration, transformation","10.1145/2925995.2926006","","","","","","","2016","","Proceedings of the The 11th International Knowledge Management in Organizations Conference on The Changing Face of Knowledge Management Impacting Society","KMO '16","","978-1-4503-4064-9","Hagen, Germany","ACM","New York, NY, USA"
"article","3127964","James Jin Kang","","","","User Feedback System for Emergency Alarms in Mobile Health Networks","55--59","","5","Alarm Notification, Emergency Alarm System, Mobile Health, Personal Sensor Devices, Speech Recognition, User Feedback System","10.1145/3127942.3127964","","","","","","","2017","","Proceedings of the International Conference on Algorithms, Computing and Systems","ICACS '17","","978-1-4503-5284-0","Jeju Island, Republic of Korea","ACM","New York, NY, USA"
"article","2896347","Karthik  Srinivasan and Faiz  Currim and Sudha  Ram and Casey  Lindberg and Esther  Sternberg and Perry  Skeath and Bijan  Najafi and Javad  Razjouyan and Hyo-Ki  Lee and Colin  Foe-Parker and Nicole  Goebel and Reuben  Herzl and Matthias R. Mehl and Brian  Gilligan and Judith  Heerwagen and Kevin  Kampschroer and Kelli  Canada","","","","Feature Importance and Predictive Modeling for Multi-source Healthcare Data with Missing Values","47--54","","8","data science with missing data, mobile-sensors, multi-source data, well-being analysis","10.1145/2896338.2896347","","","","","","","2016","","Proceedings of the 6th International Conference on Digital Health Conference","DH '16","","978-1-4503-4224-7","Montr&#233;al, Qu&#233;bec, Canada","ACM","New York, NY, USA"
"article","2661916","Yang  Liu and Songhua  Xu and Lian  Duan","","","","Relationship Emergence Prediction in Heterogeneous Networks Through Dynamic Frequent Subgraph Mining","1649--1658","","10","heterogeneous network, relationship prediction","10.1145/2661829.2661916","","","","","","","2014","","Proceedings of the 23rd ACM International Conference on Conference on Information and Knowledge Management","CIKM '14","","978-1-4503-2598-1","Shanghai, China","ACM","New York, NY, USA"
"article","3136885","Shailja  Dahiya and Manoj Kumar Bohra","","","","Element-key Table Based Complex Key Generation (E-CKG) for IoT Based Health Care Networks","59--64","","6","authentication, complex key generation, element key, healthcare networks","10.1145/3136825.3136885","","","","","","","2017","","Proceedings of the 10th International Conference on Security of Information and Networks","SIN '17","","978-1-4503-5303-8","Jaipur, India","ACM","New York, NY, USA"
"article","2523506","Yared  Berhanu and Habtamu  Abie and Mohamed  Hamdi","","","","A Testbed for Adaptive Security for IoT in eHealth","5:1--5:8","5","8","IoT, adaptive security, eHealth, testbed, wireless body area sensor networks","10.1145/2523501.2523506","","","","","","","2013","","Proceedings of the International Workshop on Adaptive Security","ASPI '13","","978-1-4503-2543-1","Zurich, Switzerland","ACM","New York, NY, USA"
"proceeding","2676743","","","","Conference Chair-Danny  Hughes and Conference Chair-Chantal  Taconet and Conference Chair-S&#233;bastien  Leriche","","","","","","","","","","","","","2014","","Proceedings of the 1st ACM Workshop on Middleware for Context-Aware Applications in the IoT","","","978-1-4503-3234-7","Bordeaux, France","ACM","New York, NY, USA"
"article","3055043","Kyeong T. Min and Philip  Lundrigan and Neal  Patwari","","","","IASA - Indoor Air Quality Sensing and Automation: Demo Abstract","277--278","","2","IoT, embedded systems, indoor air quality, sensing and automation","10.1145/3055031.3055043","","","","","","","2017","","Proceedings of the 16th ACM/IEEE International Conference on Information Processing in Sensor Networks","IPSN '17","","978-1-4503-4890-4","Pittsburgh, Pennsylvania","ACM","New York, NY, USA"
"article","3095793","Amir  Modarresi and James P.G. Sterbenz","","","","Multilevel IoT Model for Smart Cities Resilience","7:1--7:7","7","7","IoT, fog, cloud and smart-city architecture and topology, Resilient, survivable and dependable Future Internet, multilevel modelling, ns-3 simulation","10.1145/3095786.3095793","","","","","","","2017","","Proceedings of the 12th International Conference on Future Internet Technologies","CFI'17","","978-1-4503-5332-8","Fukuoka, Japan","ACM","New York, NY, USA"
"article","3102333","Ankit P. Navik and Vaishnavi  Dirisina and Hitendra  Thakkar and Madhuri R. Sharma and Aditya  Bhat","","","","Intel Edison Based Scalable Platform Solution for Visually Impaired People on W-IoT","29:1--29:3","29","3","Computer vision, navigation, object detection, object recognition, speech processing, wearable IoT","10.1145/3102304.3102333","","","","","","","2017","","Proceedings of the International Conference on Future Networks and Distributed Systems","ICFNDS '17","","978-1-4503-4844-7","Cambridge, United Kingdom","ACM","New York, NY, USA"
"article","3126933","Marcelo  Amaral and Jord&#224;  Polo and David  Carrera and Seetharami  Seelam and Malgorzata  Steinder","","","","Topology-aware GPU Scheduling for Learning Workloads in Cloud Environments","17:1--17:12","17","12","GPU, multi-GPU, performance analysis, placement, resource contention, scheduling, workload interference and deep learning","10.1145/3126908.3126933","","","","","","","2017","","Proceedings of the International Conference for High Performance Computing, Networking, Storage and Analysis","SC '17","","978-1-4503-5114-0","Denver, Colorado","ACM","New York, NY, USA"
"article","3066861","Niraj K. Jha","","","","Internet-of-Medical-Things","7--7","","1","body-area network, energy efficiency, inference, iot, medical devices, security, sparsity","10.1145/3060403.3066861","","","","","","","2017","","Proceedings of the on Great Lakes Symposium on VLSI 2017","GLSVLSI '17","","978-1-4503-4972-7","Banff, Alberta, Canada","ACM","New York, NY, USA"
"proceeding","2753476","","","","Program Chair-Simone  Cirani and Program Chair-Mischa  Dohler and Program Chair-Gianluigi  Ferrari and Program Chair-Luigi Alfredo Grieco and Program Chair-Marco  Picone and Program Chair-Thomas  Watteyne","","","","","","","","","","","","","2015","","Proceedings of the 2015 Workshop on IoT Challenges in Mobile and Industrial Systems","","","978-1-4503-3502-7","Florence, Italy","ACM","New York, NY, USA"
"article","3010100","Berna  Seref and Erkan  Bostanci","","","","Opportunities, Threats and Future Directions in Big Data for Medical Wearables","15:1--15:5","15","5","Big data, challenges, medical wearables, solutions, wearable devices","10.1145/3010089.3010100","","","","","","","2016","","Proceedings of the International Conference on Big Data and Advanced Wireless Technologies","BDAW '16","","978-1-4503-4779-2","Blagoevgrad, Bulgaria","ACM","New York, NY, USA"
"article","3132007","Farzad  Asgarian and Khalil  Najafi","","","","Time Synchronization in a Network of Bluetooth Low Energy Beacons","119--120","","2","Beacon, Bluetooth, Sensor Networks, Time Synchronization","10.1145/3123878.3132007","","","","","","","2017","","Proceedings of the SIGCOMM Posters and Demos","SIGCOMM Posters and Demos '17","","978-1-4503-5057-0","Los Angeles, CA, USA","ACM","New York, NY, USA"
"article","3078862","Qais  Tasali and Chandan  Chowdhury and Eugene Y. Vasserman","","","","A Flexible Authorization Architecture for Systems of Interoperable Medical Devices","9--20","","12","abac, access control, alfa, authorization, cps, medical interoperability, miot, xacml","10.1145/3078861.3078862","","","","","","","2017","","Proceedings of the 22Nd ACM on Symposium on Access Control Models and Technologies","SACMAT '17 Abstracts","","978-1-4503-4702-0","Indianapolis, Indiana, USA","ACM","New York, NY, USA"
"article","2816953","Cameron  Hughes and Tracey  Hughes and Trevor  watkins and James  Dittrich","","","","Partial Computer Homeostasis Through Syslog Analysis Using Autonomous Epistemic Agents","29:1--29:4","29","4","Knowledge retrieval, abductive logic programming, autonomous agents, conceptual graphs, epistemic logic, event calculus, knowledge representation, logic programming, text analysis","10.1145/2815833.2816953","","","","","","","2015","","Proceedings of the 8th International Conference on Knowledge Capture","K-CAP 2015","","978-1-4503-3849-3","Palisades, NY, USA","ACM","New York, NY, USA"
"article","2908974","Kinga  Mrugala and Nilufer  Tuptuk and Stephen  Hailes","","","","Evolving Attackers Against Wireless Sensor Networks","107--108","","2","evolutionary computation, routing protocols, wireless network attacks","10.1145/2908961.2908974","","","","","","","2016","","Proceedings of the 2016 on Genetic and Evolutionary Computation Conference Companion","GECCO '16 Companion","","978-1-4503-4323-7","Denver, Colorado, USA","ACM","New York, NY, USA"
"article","2987574","Julian James Stephen and Savvas  Savvides and Vinaitheerthan  Sundaram and Masoud Saeida Ardekani and Patrick  Eugster","","","","STYX: Stream Processing with Trustworthy Cloud-based Execution","348--360","","13","Confidentiality, IoT, Stream data processing","10.1145/2987550.2987574","","","","","","","2016","","Proceedings of the Seventh ACM Symposium on Cloud Computing","SoCC '16","","978-1-4503-4525-5","Santa Clara, CA, USA","ACM","New York, NY, USA"
"article","2185295","Ramiro  S&#225;mano-Robles and Atilio  Gameiro","","","","Design of a Low Cost RFID Platform with Added Value Sensing Capabilities for Humanitarian Relief Applications","291--297","","7","ASPIRE, RFID low cost reader platforms, added value sensing, open source middleware","10.1145/2185216.2185295","","","","","","","2011","","Proceedings of the 1st International Conference on Wireless Technologies for Humanitarian Relief","ACWR '11","","978-1-4503-1011-6","Amritapuri, Kollam, Kerala, India","ACM","New York, NY, USA"
"article","3064818","R.  Harkanson and Y.  Kim","","","","Applications of Elliptic Curve Cryptography: A Light Introduction to Elliptic Curves and a Survey of Their Applications","6:1--6:7","6","7","diffie-hellman (DH), digital signature algorithm (DSA), elliptic curve DSA (ECDSA), elliptic curve cryptography (ECC), elliptic curve diffie-hellman (ECDH)","10.1145/3064814.3064818","","","","","","","2017","","Proceedings of the 12th Annual Conference on Cyber and Information Security Research","CISRC '17","","978-1-4503-4855-3","Oak Ridge, Tennessee, USA","ACM","New York, NY, USA"
"article","2248347","Avik  Ghose and Chirabrata  Bhaumik and Diptesh  Das and Amit Kumar Agrawal","","","","Mobile Healthcare Infrastructure for Home and Small Clinic","15--20","","6","intelligent healthcare, iot, mhealth, mobile application, sensor networks, sos, wireless healthcare monitoring","10.1145/2248341.2248347","","","","","","","2012","","Proceedings of the 2Nd ACM International Workshop on Pervasive Wireless Healthcare","MobileHealth '12","","978-1-4503-1292-9","Hilton Head, South Carolina, USA","ACM","New York, NY, USA"
